company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
JPMorgan Chase & Co,Product Owner Data Acquisition Securities - Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Dhwani Rural Information Systems,Data Engineer,3.8,Gurgaon,"₹ 3,88,673",51 to 200 Employees,2015,Company - Private,Software Development,Information Technology,$1 to $5 million (USD),3.9,3.3,3.8,3.7,3.3
Rahi Systems,Senior Executive - Data Analytics,3.8,Pune,"₹ 17,50,000",501 to 1000 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.5,3.5,3.8,3.6,3.4
Hexanika,Data Analyst,3.5,Pune,"₹ 3,67,423",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.8,3.1,3.9,3.8,3.7
Squalas,Data Warehouse ETL Tester,5,Hyderābād,"₹ 2,58,198",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,5,5,5,5,5
Techigai,Data Engineer,,Hyderābād,"₹ 6,12,372",201 to 500 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.2,3.7,3.8,3.9,3.8
ASI-Apex Sourcing,Data Analyst,,Delhi,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4,4,4,5,4
Medtronic,Data Analyst,3.9,India,,10000+ Employees,1949,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.7,3.8,3.2,3.6
ADCI - Uttar Pradesh,Data Engineer,3.7,Noida,"₹ 5,20,769",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.7,3.8,3.6,3.3,3.2
Clairvoyant,Python Data Engineer,4,Pune,"₹ 6,83,831",501 to 1000 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.7,4,3.8,3.8
Everstylish Lifestyle Pvt. Ltd.,Data Entry Operator,,Gurgaon,"₹ 13,500",,,,,,,,,,,
Parexel,Data Management Lead II,3.8,Remote,,10000+ Employees,1982,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.7,3.6,3.8,3.5,3.7
Trukky Logistics,Data science internship,,Gurgaon,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.1,2.9,2.9,3.2,2.7
Optimum Info,Junior Analyst- Financial Data,,Noida,"₹ 2,26,362",,,,,,,,,,,
Providence Global Center,Data Annotation Analyst,3.6,Hyderābād,"₹ 3,15,247",501 to 1000 Employees,1855,Non-profit Organisation,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.6,3.4,3.7,3.1,3.4
Elfonze Technologies,"Microsoft Azure including Azure Blob Storage, Azure Data Lake Storage.",4.8,Hyderābād,"₹ 3,52,564",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.8,4.6,4.8,4.8,4.7
altbalaji,Data Analyst,2.8,Mumbai,"₹ 2,64,811",51 to 200 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,3,2.9,2.3,2.3,2
